text,corrected,exists
bor'd,bored,False
brother's,brotheres,False
murder'd,murdered,False
murder'd,murdered,False
pierc'd,pierced,True
what's,whates,False
driv'st,drivest,False
maiden's,maidenes,False
number'd,numbered,False
e'en,eeen,False
look'd,looked,True
kill'd,killed,False
mispris'd,misprised,False
lysander's,lysanderes,False
whe'r,wheer,True
sorrow's,sorrowes,False
true-love's,true-lovees,False
turn'd,turned,True
turn'd,turned,True
o'er-rules,oeer-rules,False
i'll,iell,False
tartar's,tartares,False
cupid's,cupides,False
wak'st,wakest,False
lover's,loveres,False
hermia's,hermiaes,False
o'er,oeer,False
o'er,oeer,False
taurus',tauruse,False
fann'd,fanned,False
hold'st,holdest,False
maid's,maides,False
soul's,soules,False
hermia's,hermiaes,False
e'er,eeer,False
lov'd,loved,False
sojourn'd,sojourned,False
return'd,returned,True
lysander's,lysanderes,False
seek'st,seekest,False
conjoin'd,conjoined,True
conspir'd,conspired,False
contriv'd,contrived,False
shar'd,shared,False
school-days',school-dayse,False
'tis,etis,False
unlov'd,unloved,True
'tis,etis,False
he'll,heell,False
i'll,iell,False
i'll,iell,False
lov'd,loved,False
'tis,etis,False
stol'n,stolen,True
love's,lovees,False
i',ie,True
urg'd,urged,False
prevail'd,prevailed,False
wrong'd,wronged,True
follow'd,followed,False
follow'd,followed,False
threaten'd,threatened,False
is't,iset,False
she's,shees,False
'little',elittlee,False
'low',elowe,False
'little,elittle,False
!',!e,False
dar'st,darest,False
i'll,iell,False
'long,elong,False
amaz'd,amazed,True
mistak'st,mistakest,False
commit'st,commitest,False
'nointed,enointed,False
athenian's,athenianes,False
see'st,seeest,False
another's,anotheres,False
o'er,oeer,False
lysander's,lysanderes,False
i'll,iell,False
monster's,monsteres,False
night's,nightes,False
aurora's,auroraes,False
black-brow'd,black-browed,False
morning's,morninges,False
fear'd,feared,True
look'st,lookest,False
i'll,iell,False
defil'd,defiled,True
we'll,weell,False
lighter-heel'd,lighter-heeled,False
follow'd,followed,False
i'll,iell,False
com'st,comest,False
dar'st,darest,False
runn'st,runnest,False
dar'st,darest,False
mock'st,mockest,False
day's,dayes,False
sorrow's,sorrowes,False
i'll,iell,False
wak'st,wakest,False
tak'st,takest,False
lady's,ladyes,False
where's,wherees,False
where's,wherees,False
where's,wherees,False
what's,whates,False
barber's,barberes,False
desir'st,desirest,False
squirrel's,squirreles,False
see'st,seeest,False
flowerets',floweretse,False
begg'd,begged,False
night's,nightes,False
dian's,dianes,False
o'er,oeer,False
cupid's,cupides,False
enamour'd,enamoured,False
wak'st,wakest,False
fool's,fooles,False
theseus',theseuse,False
night's,nightes,False
perform'd,performed,False
mountain's,mountaines,False
bay'd,bayed,True
seem'd,seemed,False
flew'd,flewed,True
crook-knee'd,crook-kneeed,False
dew-lapp'd,dew-lapped,False
match'd,matched,False
holla'd,hollaed,False
cheer'd,cheered,True
nedar's,nedares,False
stol'n,stolen,True
follow'd,followed,False
betroth'd,betrothed,True
purpos'd,purposed,False
we'll,weell,False
let's,letes,False
'most,emost,False
.',.e,False
god's,godes,False
man's,manes,True
bottom's,bottomes,False
bottom's,bottomes,False
'paragon,eparagon,False
:',:e,False
'scaped,escaped,False
i'll,iell,False
o'er,oeer,False
lion's,liones,False
'tis,etis,False
helen's,helenes,False
poet's,poetes,False
poet's,poetes,False
suppos'd,supposed,True
transfigur'd,transfigured,False
fancy's,fancyes,False
we'll,weell,False
play'd,played,False
deceas'd,deceased,True
rehears'd,rehearsed,False
labour'd,laboured,False
toil'd,toiled,True
unbreath'd,unbreathed,True
stretch'd,stretched,False
conn'd,conned,False
o'ercharg'd,oeercharged,False
practis'd,practised,False
pick'd,picked,True
address'd,addressed,False
wall's,walles,False
ninus',ninuse,False
thisby's,thisbyes,False
broach'd,broached,False
grim-look'd,grim-looked,False
thisby's,thisbyes,False
stand'st,standest,False
father's,fatheres,False
curs'd,cursed,True
'deceiving,edeceiving,False
",'",",e",False
thisby's,thisbyes,False
kiss'd,kissed,False
thisby's,thisbyes,False
lover's,loveres,False
wall's,walles,False
ninny's,ninnyes,False
'tide,etide,False
'tide,etide,False
lion's,liones,False
'twere,etwere,False
e'er,eeer,False
i',ie,True
i',ie,True
ninny's,ninnyes,False
thisby's,thisbyes,False
stain'd,stained,False
deflower'd,deflowered,False
liv'd,lived,True
lov'd,loved,False
lik'd,liked,False
look'd,looked,True
thisbe's,thisbees,False
'tis,etis,False
overwatch'd,overwatched,False
beguil'd,beguiled,False
hecate's,hecatees,False
hallow'd,hallowed,True
nature's,naturees,False
slumber'd,slumbered,False
i'm,iem,False
'scape,escape,True
serpent's,serpentes,True
o'er,oeer,False
father's,fatheres,False
majesty's,majestyes,False
majesty's,majestyes,False
'had,ehad,False
!',!e,False
'tis,etis,False
king's,kinges,False
king's,kinges,False
'tis,etis,False
life's,lifees,False
check'd,checked,True
tax'd,taxed,True
'tis,etis,False
unseason'd,unseasoned,True
in't,inet,False
bertram's,bertrames,False
'twas,etwas,False
heart's,heartes,False
he's,hees,False
fix'd,fixed,True
virtue's,virtuees,False
.'tis,.etis,False
with't,withet,False
for't,foret,False
there's,therees,False
in't,inet,False
'tis,etis,False
by't,byet,False
with't,withet,False
with't,withet,False
ne'er,neeer,False
'tis,etis,False
with't,withet,False
'tis,etis,False
'tis,etis,False
'tis,etis,False
court's,courtes,False
i',ie,True
'tis,etis,False
what's,whates,False
in't,inet,False
that's,thates,False
courtier's,courtieres,False
king's,kinges,False
fix'd,fixed,True
'tis,etis,False
'tis,etis,False
vouch'd,vouched,False
approv'd,approved,False
arm'd,armed,True
what's,whates,False
bear'st,bearest,False
father's,fatheres,False
compos'd,composed,True
father's,fatheres,False
majesty's,majestyes,False
awak'd,awaked,False
obey'd,obeyed,False
us'd,used,True
bow'd,bowed,True
follow'd,followed,False
scatter'd,scattered,True
'let,elet,False
",'",",e",False
",'let",",elet",False
",'",",e",False
'after,eafter,False
.',.e,False
wish'd,wished,True
lov'd,loved,False
know't,knowet,False
is't,iset,False
father's,fatheres,False
fam'd,famed,False
son's,sones,False
'tis,etis,False
'tis,etis,False
'tis,etis,False
ladyship's,ladyshipes,False
isbel's,isbeles,False
o',oe,True
worship's,worshipes,False
o',oe,True
wife's,wifees,False
you're,youere,False
he's,hees,False
howsome'er,howsomeeer,False
i',ie,True
i'll,iell,False
priam's,priames,False
there's,therees,False
o',oe,True
we'd,weed,True
a',ae,True
",'twould",",etwould",False
a',ae,True
you'll,youell,False
woman's,womanes,False
she'll,sheell,False
e'er,eeer,False
nature's,naturees,False
nature's,naturees,False
love's,lovees,False
impress'd,impressed,False
on't,onet,False
'a,ea,True
",'",",e",False
what's,whates,False
'mother',emothere,False
'tis,etis,False
ne'er,neeer,False
oppress'd,oppressed,True
mother's,motheres,False
mother's,motheres,False
god's,godes,False
what's,whates,False
distemper'd,distempered,True
many-colour'd,many-coloured,False
honour'd,honoured,False
can't,canet,False
catch'd,catched,False
tears',tearse,False
'tis,etis,False
asham'd,ashamed,True
'tis,etis,False
th',the,True
th',the,True
is't,iset,False
forswear't,forswearet,False
howe'er,howeeer,False
in't,inet,False
appeach'd,appeached,False
so's,soes,False
lov'd,loved,False
prov'd,proved,True
will'd,willed,True
heedfull'st,heedfullest,False
approv'd,approved,False
render'd,rendered,False
embowell'd,embowelled,False
there's,therees,False
in't,inet,False
father's,fatheres,False
great'st,greatest,False
i'd,ied,False
grace's,gracees,False
believe't,believeet,False
i'll,iell,False
god's,godes,False
'tis,etis,False
receiv'd,received,True
'tis,etis,False
enter'd,entered,False
'tis,etis,False
'tis,etis,False
'too,etoo,False
",'",",e",False
'the,ethe,False
",'",",e",False
''tis,eetis,False
.',.e,False
to't,toet,False
i'll,iell,False
there's,therees,False
i'll,iell,False
here's,herees,False
kneel'd,kneeled,False
ask'd,asked,False
for't,foret,False
'tis,etis,False
cur'd,cured,False
that's,thates,False
in's,ines,False
'her',ehere,False
there's,therees,False
arriv'd,arrived,False
amaz'd,amazed,True
wond'ring,wondering,True
took'st,tookest,False
i'll,iell,False
cressid's,cressides,False
on's,ones,False
touch'd,touched,True
father's,fatheres,False
call'd,called,False
thought'st,thoughtest,False
know'st,knowest,False
'gainst,egainst,False
us'd,used,True
barr'd,barred,True
'tis,etis,False
hop'st,hopest,False
great'st,greatest,False
quench'd,quenched,False
pilot's,pilotes,False
dar'st,darest,False
strumpet's,strumpetes,False
traduc'd,traduced,False
maiden's,maidenes,False
sear'd,seared,True
deserv'd,deserved,True
death's,deathes,False
observ'd,observed,False
serv'd,served,False
resolv'd,resolved,True
cam'st,camest,False
unquestion'd,unquestioned,True
'but,ebut,False
!',!e,False
off's,offes,False
that's,thates,False
barber's,barberes,False
tib's,tibes,False
tom's,tomes,False
nun's,nunes,False
friar's,friares,False
to't,toet,False
there's,therees,False
to't,toet,False
'o,eo,False
!',!e,False
'spare,espare,False
?',?e,False
'o,eo,False
!',!e,False
to't,toet,False
ne'er,neeer,False
'o,eo,False
!',!e,False
entertain't,entertainet,False
there't,thereet,False
'tis,etis,False
'tis,etis,False
'tis,etis,False
'twere,etwere,False
that's,thates,False
'fore,efore,False
'tis,etis,False
'tis,etis,False
i'll,iell,False
he's,hees,False
'fore,efore,False
patient's,patientes,False
banish'd,banished,False
repeal'd,repealed,False
o'er,oeer,False
sov'reign,sovereign,True
father's,fatheres,False
i'd,ied,False
boys',boyse,False
restor'd,restored,False
'we,ewe,True
refus'd,refused,False
we'll,weell,False
ne'er,neeer,False
.',.e,False
i'd,ied,False
whipp'd,whipped,True
i'll,iell,False
they'll,theyell,False
ne'er,neeer,False
'em,eem,False
there's,therees,False
be'st,beest,True
she's,shees,False
know'st,knowest,False
know'st,knowest,False
rais'd,raised,True
father's,fatheres,False
physician's,physicianes,False
'tis,etis,False
disdain'st,disdainest,False
pour'd,poured,False
dislik'st,dislikest,False
physician's,physicianes,False
dislik'st,dislikest,False
doer's,doeres,False
swell's,swelles,False
she's,shees,False
honour's,honoures,False
honour's,honoures,False
word's,wordes,False
debosh'd,deboshed,True
damn'd,damned,True
honour'd,honoured,False
do't,doet,False
wrong'st,wrongest,False
restor'd,restored,False
i'm,iem,False
honour's,honoures,False
'twere,etwere,False
perform'd,performed,False
lov'st,lovest,False
love's,lovees,False
count's,countes,False
count's,countes,False
thou'rt,thouert,False
e'en,eeen,False
o',oe,True
be'st,beest,True
i'll,iell,False
i'll,iell,False
i'll,iell,False
master's,masteres,False
there's,therees,False
that's,thates,False
o',oe,True
i'd,ied,False
i'd,ied,False
i'll,iell,False
man's,manes,True
there's,therees,False
mars's,marses,False
in't,inet,False
i'll,iell,False
i'll,iell,False
i'll,iell,False
there's,therees,False
'tis,etis,False
that's,thates,False
marr'd,marred,False
'tis,etis,False
she's,shees,False
she's,shees,False
i',ie,True
she's,shees,False
she's,shees,False
she's,shees,False
she's,shees,False
man's,manes,True
master's,masteres,False
thou'rt,thouert,False
thou'rt,thouert,False
thou'rt,thouert,False
world's,worldes,False
i',ie,True
compell'd,compelled,False
strew'd,strewed,False
o'erflow,oeerflow,False
what's,whates,False
o',oe,True
strengthen'd,strengthened,False
obtain'd,obtained,False
who's,whoes,False
you'll,youell,False
lord's,lordes,False
into't,intoet,False
you'll,youell,False
procur'd,procured,False
prepar'd,prepared,True
'twill,etwill,False
fail'd,failed,False
'tis,etis,False
grace's,gracees,False
guess'd,guessed,False
o',oe,True
o',oe,True
cupid's,cupides,False
e'en,eeen,False
'not',enote,False
to't,toet,False
that's,thates,False
't,et,False
he's,hees,False
here's,herees,False
'then',ethene,True
'never,enever,False
.',.e,False
contents',contentse,False
robb'st,robbest,False
believe't,believeet,False
'tis,etis,False
'tis,etis,False
there's,therees,False
y'are,yeare,False
i'll,iell,False
'till,etill,False
.',.e,False
is't,iset,False
to't,toet,False
'twere,etwere,False
roar'd,roared,False
'twere,etwere,False
do't,doet,False
offic'd,officed,False
i'll,iell,False
we'll,weell,False
prosp'rous,prosperous,True
jaques',jaquese,False
o'erta'en,oeertaeen,False
duke's,dukees,False
let's,letes,False
i'll,iell,False
is't,iset,False
lodg'd,lodged,True
whatsoe'er,whatsoeeer,False
he's,hees,False
'tis,etis,False
what's,whates,False
examin'd,examined,False
'tis,etis,False
wheresoe'er,wheresoeeer,False
pleas'd,pleased,False
arm'd,armed,True
duke's,dukees,False
'tis,etis,False
lov'd,loved,False
is't,iset,False
'tis,etis,False
yond's,yondes,False
he's,hees,False
i',ie,True
he's,hees,False
enjoin'd,enjoined,False
there's,therees,False
we'll,weell,False
to't,toet,False
he's,hees,False
lordship's,lordshipes,False
for't,foret,False
in't,inet,False
drum's,drumes,False
on't,onet,False
'tis,etis,False
'but,ebut,False
!',!e,False
is't,iset,False
'but,ebut,False
?',?e,False
to't,toet,False
i'll,iell,False
thou'rt,thouert,False
do't,doet,False
man's,manes,True
lordship's,lordshipes,False
we'll,weell,False
as't,aset,False
i'll,iell,False
she's,shees,False
that's,thates,False
i',ie,True
she's,shees,False
fall'n,fallen,True
show'd,showed,False
you're,youere,False
resolv'd,resolved,True
we'll,weell,False
'tis,etis,False
she'll,sheell,False
howe'er,howeeer,False
i'll,iell,False
compos'd,composed,True
on't,onet,False
let's,letes,False
i',ie,True
adversary's,adversaryes,False
chough's,choughes,False
o'clock,oeclock,False
'twill,etwill,False
e'er,eeer,False
'came,ecame,False
?',?e,False
what's,whates,False
butter-woman's,butter-womanes,False
bajazet's,bajazetes,False
'twould,etwould,False
enemy's,enemyes,False
enemy's,enemyes,False
muskos',muskose,False
hoodwink'd,hoodwinked,False
may'st,mayest,False
i'll,iell,False
i'll,iell,False
a',ae,True
i'll,iell,False
lock'd,locked,True
o',oe,True
compell'd,compelled,False
love's,lovees,False
'tis,etis,False
vow'd,vowed,True
god's,godes,False
lov'd,loved,False
unseal'd,unsealed,True
ne'er,neeer,False
we'll,weell,False
i'll,iell,False
'longing,elonging,False
i',ie,True
honour's,honoures,False
chastity's,chastityes,False
i',ie,True
i'll,iell,False
i'll,iell,False
conquer'd,conquered,False
deliver'd,delivered,False
i'll,iell,False
's,es,True
wife's,wifees,False
i'll,iell,False
think't,thinket,False
mother's,motheres,False
in't,inet,False
'tis,etis,False
o'erflows,oeerflows,False
he'll,heell,False
where's,wherees,False
king's,kinges,False
here's,herees,False
is't,iset,False
month's,monthes,False
conge'd,congeed,False
i',ie,True
i',ie,True
a',ae,True
in't,inet,False
'em,eem,False
i'll,iell,False
on't,onet,False
all's,alles,False
that's,thates,False
i'll,iell,False
he's,hees,False
for't,foret,False
that's,thates,False
truth's,truthes,False
that's,thates,False
i',ie,True
inter'gatories,interegatories,False
a',ae,True
botcher's,botcheres,False
'prentice,eprentice,False
shrieve's,shrievees,False
florence's,florencees,False
o',oe,True
we'll,weell,False
duke's,dukees,False
'tis,etis,False
here's,herees,False
count's,countes,False
duke's,dukees,False
i'll,iell,False
in't,inet,False
ne'er,neeer,False
count's,countes,False
vow'd,vowed,True
in's,ines,False
he's,hees,False
general's,generales,False
i',ie,True
we'll,weell,False
'em,eem,False
he's,hees,False
what's,whates,False
what's,whates,False
e'en,eeen,False
o',oe,True
i'll,iell,False
i'll,iell,False
i'd,ied,False
on't,onet,False
'twould,etwould,False
i'll,iell,False
fool'd,fooled,False
there's,therees,False
i'll,iell,False
wrong'd,wronged,True
'fore,efore,False
'tis,etis,False
tartar's,tartares,False
inform'd,informed,True
we'll,weell,False
daughter's,daughteres,False
cozen'd,cozened,False
prepar'd,prepared,True
all's,alles,False
fine's,finees,False
whate'er,whateeer,False
'twas,etwas,False
'twas,etwas,False
woman's,womanes,False
man's,manes,True
who's,whoes,False
a',ae,True
there's,therees,False
in's,ines,False
they'll,theyell,False
'em,eem,False
jade's,jadees,False
that's,thates,False
'tis,etis,False
lady's,ladyes,False
yonder's,yonderes,False
on's,ones,False
'tis,etis,False
there's,therees,False
'em,eem,False
majesty's,majestyes,False
what's,whates,False
king's,kinges,False
remov'd,removed,True
all's,alles,False
i'll,iell,False
thank'd,thanked,False
whate'er,whateeer,False
fortune's,fortunees,False
fortune's,fortunees,False
fortune's,fortunees,False
man's,manes,True
fortune's,fortunees,False
fortune's,fortunees,False
fortune's,fortunees,False
'tis,etis,False
there's,therees,False
ha't,haet,True
king's,kinges,False
lack'd,lacked,False
'tis,etis,False
i',ie,True
reason's,reasones,False
o'erbears,oeerbears,False
honour'd,honoured,False
watch'd,watched,True
scorn'd,scorned,True
call'd,called,False
reconcil'd,reconciled,False
'tis,etis,False
on't,onet,False
let's,letes,False
quick'st,quickest,False
warp'd,warped,True
scorn'd,scorned,True
express'd,expressed,True
prais'd,praised,False
lov'd,loved,False
excus'd,excused,False
'that's,ethates,False
that's,thates,False
.',.e,False
what's,whates,False
helen's,helenes,False
we'll,weell,False
widower's,widoweres,False
house's,housees,False
that's,thates,False
on't,onet,False
that's,thates,False
e'er,eeer,False
fasten'd,fastened,False
to't,toet,False
howe'er,howeeer,False
reckon'd,reckoned,False
life's,lifees,False
deceiv'd,deceived,False
wrapp'd,wrapped,True
contain'd,contained,False
engag'd,engaged,True
subscrib'd,subscribed,False
inform'd,informed,True
ceas'd,ceased,False
nature's,naturees,False
'twas,etwas,False
'twas,etwas,False
helen's,helenes,False
'twas,etwas,False
call'd,called,False
speak'st,speakest,False
mak'st,makest,False
",'twill",",etwill",False
howe'er,howeeer,False
fear'd,feared,True
we'll,weell,False
wrapp'd,wrapped,True
here's,herees,False
vanquish'd,vanquished,False
honour's,honoures,False
i'll,iell,False
snatch'd,snatched,True
woman's,womanes,False
she's,shees,False
heaven's,heavenes,False
laugh'd,laughed,False
she's,shees,False
o',oe,True
'tis,etis,False
conferr'd,conferred,False
ow'd,owed,False
ring's,ringes,False
name's,namees,False
he's,hees,False
tax'd,taxed,True
debosh'd,deboshed,True
he'll,heell,False
lik'd,liked,False
i',ie,True
fancy's,fancyes,False
turn'd,turned,True
i'll,iell,False
majesty's,majestyes,False
i'll,iell,False
woman's,womanes,False
tell'st,tellest,False
i'll,iell,False
i'll,iell,False
'twas,etwas,False
accus'd,accused,True
he's,hees,False
he'll,heell,False
to't,toet,False
i'll,iell,False
man's,manes,True
abus'd,abused,False
harm'd,harmed,False
defil'd,defiled,True
there's,therees,False
that's,thates,False
is't,iset,False
'tis,etis,False
here's,herees,False
i'll,iell,False
i'll,iell,False
be'st,beest,True
i'll,iell,False
king's,kinges,False
father's,fatheres,False
'old,eold,False
dog',doge,True
duke's,dukees,False
'twill,etwill,False
what's,whates,False
there's,therees,False
duke's,dukees,False
duke's,dukees,False
brother's,brotheres,False
i'll,iell,False
man's,manes,True
to't,toet,False
ta'en,taeen,False
i'll,iell,False
i'll,iell,False
he's,hees,False
i'll,iell,False
'tis,etis,False
fortune's,fortunees,False
nature's,naturees,False
nature's,naturees,False
nature's,naturees,False
fortune's,fortunees,False
nature's,naturees,False
i'll,iell,False
is't,iset,False
father's,fatheres,False
you'll,youell,False
news-cramm'd,news-crammed,False
what's,whates,False
'be,ebe,False
.',.e,False
duke's,dukees,False
challenger's,challengeres,False
i'll,iell,False
man's,manes,True
heart's,heartes,False
esteem'd,esteemed,False
pleas'd,pleased,False
rowland's,rowlandes,False
lov'd,loved,False
father's,fatheres,False
ventur'd,ventured,False
father's,fatheres,False
deserv'd,deserved,True
i'll,iell,False
urg'd,urged,False
deserv'd,deserved,True
duke's,dukees,False
banish'd,banished,False
detain'd,detained,False
ta'en,taeen,False
'gainst,egainst,False
father's,fatheres,False
'gainst,egainst,False
child's,childes,False
'hem,ehem,False
",'",",e",False
rowland's,rowlandes,False
be'st,beest,True
father's,fatheres,False
there's,therees,False
banish'd,banished,False
what's,whates,False
stay'd,stayed,True
rang'd,ranged,True
learn'd,learned,True
play'd,played,False
wheresoe'er,wheresoeeer,False
juno's,junoes,False
pass'd,passed,False
banish'd,banished,False
griev'd,grieved,True
know'st,knowest,False
banish'd,banished,False
sunder'd,sundered,False
i'll,iell,False
i'll,iell,False
woman's,womanes,False
we'll,weell,False
i'll,iell,False
jove's,jovees,False
call'd,called,False
assay'd,assayed,False
father's,fatheres,False
he'll,heell,False
o'er,oeer,False
let's,letes,False
seasons',seasonse,False
winter's,winteres,False
'this,ethis,False
.',.e,False
gor'd,gored,False
banish'd,banished,False
sequester'd,sequestered,True
hunters',hunterse,False
ta'en,taeen,False
heav'd,heaved,False
cours'd,coursed,True
'poor,epoor,False
",'",",e",False
'thou,ethou,False
mak'st,makest,False
:',:e,False
abandon'd,abandoned,True
''tis,eetis,False
",'",",e",False
'thus,ethus,False
:',:e,False
'ay,eay,False
",'",",e",False
'sweep,esweep,False
'tis,etis,False
?',?e,False
what's,whates,False
assign'd,assigned,True
he's,hees,False
i'll,iell,False
untreasur'd,untreasured,True
princess',princesse,True
o'erheard,oeerheard,False
i'll,iell,False
who's,whoes,False
what's,whates,False
sav'd,saved,True
i'll,iell,False
prun'st,prunest,False
we'll,weell,False
we'll,weell,False
master's,masteres,False
man's,manes,True
knew'st,knewest,False
lov'd,loved,False
sigh'd,sighed,False
ne'er,neeer,False
remember'st,rememberest,False
lov'd,loved,False
mistress',mistresse,False
lov'd,loved,False
lov'd,loved,False
cow's,cowes,False
'wear,ewear,False
.',.e,False
ne'er,neeer,False
shepherd's,shepherdes,False
he's,hees,False
here's,herees,False
oppress'd,oppressed,True
bird's,birdes,False
i'll,iell,False
i'll,iell,False
i',ie,True
pleas'd,pleased,False
i'll,iell,False
i'll,iell,False
what's,whates,False
'ducdame,educdame,False
?',?e,False
'tis,etis,False
i'll,iell,False
i'll,iell,False
i'll,iell,False
arm's,armes,False
i'll,iell,False
transform'd,transformed,False
i',ie,True
bask'd,basked,False
rail'd,railed,False
'good,egood,False
",'",",e",False
'no,eno,False
",'",",e",False
'call,ecall,False
.',.e,False
'it,eit,False
o'clock,oeclock,False
",'",",e",False
'how,ehow,False
'tis,etis,False
'twill,etwill,False
.',.e,False
motley's,motleyes,False
cramm'd,crammed,False
'why',ewhye,False
man's,manes,True
anatomiz'd,anatomized,False
th',the,True
wrong'd,wronged,True
wrong'd,wronged,True
unclaim'd,unclaimed,True
serv'd,served,False
bolden'd,boldened,False
seem'st,seemest,False
touch'd,touched,True
ta'en,taeen,False
whate'er,whateeer,False
look'd,looked,True
knoll'd,knolled,False
man's,manes,True
wip'd,wiped,False
'tis,etis,False
knoll'd,knolled,False
men's,menes,False
wip'd,wiped,False
engender'd,engendered,False
minister'd,ministered,False
limp'd,limped,False
suffic'd,sufficed,False
oppress'd,oppressed,True
bless'd,blessed,True
world's,worldes,False
nurse's,nursees,False
mistress',mistresse,False
cannon's,cannones,False
lin'd,lined,True
slipper'd,slippered,True
sav'd,saved,True
man's,manes,True
remember'd,remembered,False
rowland's,rowlandes,False
whisper'd,whispered,True
limn'd,limned,False
lov'd,loved,False
wheresoe'er,wheresoeeer,False
brother's,brotheres,False
lov'd,loved,False
huntress',huntresse,False
i'll,iell,False
witness'd,witnessed,False
shepherd's,shepherdes,False
shepherd's,shepherdes,False
courtier's,courtieres,False
courtier's,courtieres,False
i'll,iell,False
man's,manes,True
men's,menes,False
be'st,beest,True
'scape,escape,True
mistress's,mistresses,False
lin'd,lined,True
i'll,iell,False
butter-women's,butter-womenes,False
lin'd,lined,True
love's,lovees,False
i'll,iell,False
i',ie,True
you'll,youell,False
that's,thates,False
i'll,iell,False
'twixt,etwixt,False
sentence',sentencee,False
charg'd,charged,False
